BoroCT2010,NTACode,NTAName
2000100,BX98,Rikers Island
2000200,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2000400,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2001600,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2001900,BX39,Mott Haven-Port Morris
2002000,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2002300,BX39,Mott Haven-Port Morris
2002400,BX99,park-cemetery-etc-Bronx
2002500,BX39,Mott Haven-Port Morris
2002701,BX39,Mott Haven-Port Morris
2002702,BX39,Mott Haven-Port Morris
2002800,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2003100,BX39,Mott Haven-Port Morris
2003300,BX39,Mott Haven-Port Morris
2003500,BX39,Mott Haven-Port Morris
2003700,BX39,Mott Haven-Port Morris
2003800,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2003900,BX39,Mott Haven-Port Morris
2004001,BX55,Soundview-Bruckner
2004100,BX39,Mott Haven-Port Morris
2004200,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2004300,BX39,Mott Haven-Port Morris
2004400,BX55,Soundview-Bruckner
2004600,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2004800,BX55,Soundview-Bruckner
2005001,BX55,Soundview-Bruckner
2005002,BX55,Soundview-Bruckner
2005100,BX39,Mott Haven-Port Morris
2005200,BX55,Soundview-Bruckner
2005300,BX36,University Heights-Morris Heights
2005400,BX08,West Farms-Bronx River
2005600,BX08,West Farms-Bronx River
2005902,BX14,East Concourse-Concourse Village
2006000,BX75,Crotona Park East
2006100,BX14,East Concourse-Concourse Village
2006200,BX08,West Farms-Bronx River
2006300,BX63,West Concourse
2006400,BX08,West Farms-Bronx River
2006500,BX34,Melrose South-Mott Haven North
2006700,BX34,Melrose South-Mott Haven North
2006800,BX55,Soundview-Bruckner
2006900,BX34,Melrose South-Mott Haven North
2007000,BX55,Soundview-Bruckner
2007100,BX34,Melrose South-Mott Haven North
2007200,BX55,Soundview-Bruckner
2007300,BX34,Melrose South-Mott Haven North
2007400,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2007500,BX34,Melrose South-Mott Haven North
2007600,BX08,West Farms-Bronx River
2007700,BX34,Melrose South-Mott Haven North
2007800,BX59,Westchester-Unionport
2007900,BX34,Melrose South-Mott Haven North
2008300,BX33,Longwood
2008400,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2008500,BX33,Longwood
2008600,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2008700,BX33,Longwood
2008900,BX27,Hunts Point
2009000,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2009200,BX59,Westchester-Unionport
2009300,BX27,Hunts Point
2009600,BX59,Westchester-Unionport
2009800,BX59,Westchester-Unionport
2011000,BX52,Schuylerville-Throgs Neck-Edgewater Park
2011502,BX27,Hunts Point
2011700,BX27,Hunts Point
2011800,BX52,Schuylerville-Throgs Neck-Edgewater Park
2011900,BX27,Hunts Point
2012101,BX35,Morrisania-Melrose
2012102,BX27,Hunts Point
2012300,BX75,Crotona Park East
2012500,BX35,Morrisania-Melrose
2012701,BX27,Hunts Point
2012901,BX33,Longwood
2013000,BX52,Schuylerville-Throgs Neck-Edgewater Park
2013100,BX33,Longwood
2013200,BX52,Schuylerville-Throgs Neck-Edgewater Park
2013300,BX35,Morrisania-Melrose
2013500,BX35,Morrisania-Melrose
2013800,BX52,Schuylerville-Throgs Neck-Edgewater Park
2014100,BX35,Morrisania-Melrose
2014300,BX14,East Concourse-Concourse Village
2014400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2014500,BX01,Claremont-Bathgate
2014701,BX01,Claremont-Bathgate
2014702,BX01,Claremont-Bathgate
2014900,BX35,Morrisania-Melrose
2015100,BX35,Morrisania-Melrose
2015200,BX52,Schuylerville-Throgs Neck-Edgewater Park
2015300,BX75,Crotona Park East
2015500,BX75,Crotona Park East
2015700,BX75,Crotona Park East
2015800,BX52,Schuylerville-Throgs Neck-Edgewater Park
2015900,BX27,Hunts Point
2016000,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016100,BX75,Crotona Park East
2016200,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016300,BX99,park-cemetery-etc-Bronx
2016400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016500,BX01,Claremont-Bathgate
2016600,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016700,BX01,Claremont-Bathgate
2016900,BX01,Claremont-Bathgate
2017100,BX99,park-cemetery-etc-Bronx
2017300,BX14,East Concourse-Concourse Village
2017500,BX14,East Concourse-Concourse Village
2017701,BX14,East Concourse-Concourse Village
2017702,BX14,East Concourse-Concourse Village
2017901,BX14,East Concourse-Concourse Village
2017902,BX14,East Concourse-Concourse Village
2018101,BX14,East Concourse-Concourse Village
2018102,BX14,East Concourse-Concourse Village
2018301,BX14,East Concourse-Concourse Village
2018302,BX14,East Concourse-Concourse Village
2018400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2018500,BX35,Morrisania-Melrose
2018900,BX26,Highbridge
2019300,BX26,Highbridge
2019400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2019500,BX63,West Concourse
2019700,BX63,West Concourse
2019900,BX26,Highbridge
2020000,BX37,Van Nest-Morris Park-Westchester Square
2020100,BX26,Highbridge
2020200,BX59,Westchester-Unionport
2020400,BX59,Westchester-Unionport
2020501,BX36,University Heights-Morris Heights
2020502,BX36,University Heights-Morris Heights
2020601,BX59,Westchester-Unionport
2020900,BX63,West Concourse
2021001,BX46,Parkchester
2021002,BX46,Parkchester
2021100,BX26,Highbridge
2021200,BX46,Parkchester
2021301,BX36,University Heights-Morris Heights
2021302,BX26,Highbridge
2021501,BX36,University Heights-Morris Heights
2021502,BX36,University Heights-Morris Heights
2021601,BX08,West Farms-Bronx River
2021602,BX46,Parkchester
2021700,BX36,University Heights-Morris Heights
2021800,BX08,West Farms-Bronx River
2021900,BX26,Highbridge
2022000,BX17,East Tremont
2022101,BX63,West Concourse
2022102,BX63,West Concourse
2022200,BX46,Parkchester
2022300,BX63,West Concourse
2022401,BX49,Pelham Parkway
2022403,BX49,Pelham Parkway
2022404,BX49,Pelham Parkway
2022500,BX14,East Concourse-Concourse Village
2022701,BX41,Mount Hope
2022702,BX41,Mount Hope
2022703,BX41,Mount Hope
2022800,BX49,Pelham Parkway
2022901,BX41,Mount Hope
2022902,BX41,Mount Hope
2023000,BX37,Van Nest-Morris Park-Westchester Square
2023100,BX41,Mount Hope
2023200,BX37,Van Nest-Morris Park-Westchester Square
2023301,BX41,Mount Hope
2023302,BX41,Mount Hope
2023501,BX41,Mount Hope
2023502,BX41,Mount Hope
2023600,BX37,Van Nest-Morris Park-Westchester Square
2023702,BX05,Bedford Park-Fordham North
2023703,BX40,Fordham South
2023704,BX40,Fordham South
2023800,BX37,Van Nest-Morris Park-Westchester Square
2023900,BX40,Fordham South
2024000,BX37,Van Nest-Morris Park-Westchester Square
2024100,BX41,Mount Hope
2024300,BX36,University Heights-Morris Heights
2024400,BX37,Van Nest-Morris Park-Westchester Square
2024501,BX36,University Heights-Morris Heights
2024502,BX36,University Heights-Morris Heights
2024600,BX49,Pelham Parkway
2024700,BX36,University Heights-Morris Heights
2024800,BX49,Pelham Parkway
2024900,BX36,University Heights-Morris Heights
2025000,BX49,Pelham Parkway
2025100,BX36,University Heights-Morris Heights
2025200,BX37,Van Nest-Morris Park-Westchester Square
2025300,BX30,Kingsbridge Heights
2025400,BX37,Van Nest-Morris Park-Westchester Square
2025500,BX30,Kingsbridge Heights
2025600,BX37,Van Nest-Morris Park-Westchester Square
2025700,BX36,University Heights-Morris Heights
2026100,BX30,Kingsbridge Heights
2026300,BX30,Kingsbridge Heights
2026400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2026500,BX30,Kingsbridge Heights
2026601,BX10,Pelham Bay-Country Club-City Island
2026602,BX10,Pelham Bay-Country Club-City Island
2026701,BX28,Van Cortlandt Village
2026702,BX28,Van Cortlandt Village
2026900,BX30,Kingsbridge Heights
2027300,BX28,Van Cortlandt Village
2027401,BX10,Pelham Bay-Country Club-City Island
2027402,BX10,Pelham Bay-Country Club-City Island
2027600,BX99,park-cemetery-etc-Bronx
2027700,BX28,Van Cortlandt Village
2027900,BX28,Van Cortlandt Village
2028100,BX28,Van Cortlandt Village
