RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BROADBND,COMPOTHX,CONP
H,2019GQ0000042,2,1801,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000089,2,3806,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000102,2,3803,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000136,2,2002,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000160,2,2600,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000162,2,3212,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000167,2,3804,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000169,2,4007,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000176,2,1801,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000177,2,4004,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000195,2,2600,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000197,2,4010,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000213,2,703,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000221,2,3705,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000242,2,600,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000253,2,3311,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000272,2,2401,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000279,2,2001,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA
H,2019GQ0000288,2,703,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000292,2,3802,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000317,2,1900,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000319,2,1500,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000346,2,4107,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000359,2,3903,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000363,2,402,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000408,2,3903,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000444,2,903,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000461,2,100,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000468,2,3708,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000476,2,4010,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000486,2,3106,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000500,2,1700,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000512,2,3705,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000518,2,2902,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000519,2,403,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000524,2,1000,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000526,2,3306,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000538,2,3304,1,36,1000000,1010145,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000543,2,2201,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,2019GQ0000557,2,3710,1,36,1000000,1010145,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
